data;evento
22/09/1980;Guerra Irã-Iraque
23/09/1980;Guerra Irã-Iraque
24/09/1980;Guerra Irã-Iraque
25/09/1980;Guerra Irã-Iraque
26/09/1980;Guerra Irã-Iraque
27/09/1980;Guerra Irã-Iraque
28/09/1980;Guerra Irã-Iraque
29/09/1980;Guerra Irã-Iraque
30/09/1980;Guerra Irã-Iraque
01/10/1980;Guerra Irã-Iraque
02/10/1980;Guerra Irã-Iraque
03/10/1980;Guerra Irã-Iraque
04/10/1980;Guerra Irã-Iraque
05/10/1980;Guerra Irã-Iraque
06/10/1980;Guerra Irã-Iraque
07/10/1980;Guerra Irã-Iraque
08/10/1980;Guerra Irã-Iraque
09/10/1980;Guerra Irã-Iraque
10/10/1980;Guerra Irã-Iraque
11/10/1980;Guerra Irã-Iraque
12/10/1980;Guerra Irã-Iraque
13/10/1980;Guerra Irã-Iraque
14/10/1980;Guerra Irã-Iraque
15/10/1980;Guerra Irã-Iraque
16/10/1980;Guerra Irã-Iraque
17/10/1980;Guerra Irã-Iraque
18/10/1980;Guerra Irã-Iraque
19/10/1980;Guerra Irã-Iraque
20/10/1980;Guerra Irã-Iraque
21/10/1980;Guerra Irã-Iraque
22/10/1980;Guerra Irã-Iraque
23/10/1980;Guerra Irã-Iraque
24/10/1980;Guerra Irã-Iraque
25/10/1980;Guerra Irã-Iraque
26/10/1980;Guerra Irã-Iraque
27/10/1980;Guerra Irã-Iraque
28/10/1980;Guerra Irã-Iraque
29/10/1980;Guerra Irã-Iraque
30/10/1980;Guerra Irã-Iraque
31/10/1980;Guerra Irã-Iraque
01/11/1980;Guerra Irã-Iraque
02/11/1980;Guerra Irã-Iraque
03/11/1980;Guerra Irã-Iraque
04/11/1980;Guerra Irã-Iraque
05/11/1980;Guerra Irã-Iraque
06/11/1980;Guerra Irã-Iraque
07/11/1980;Guerra Irã-Iraque
08/11/1980;Guerra Irã-Iraque
09/11/1980;Guerra Irã-Iraque
10/11/1980;Guerra Irã-Iraque
11/11/1980;Guerra Irã-Iraque
12/11/1980;Guerra Irã-Iraque
13/11/1980;Guerra Irã-Iraque
14/11/1980;Guerra Irã-Iraque
15/11/1980;Guerra Irã-Iraque
16/11/1980;Guerra Irã-Iraque
17/11/1980;Guerra Irã-Iraque
18/11/1980;Guerra Irã-Iraque
19/11/1980;Guerra Irã-Iraque
20/11/1980;Guerra Irã-Iraque
21/11/1980;Guerra Irã-Iraque
22/11/1980;Guerra Irã-Iraque
23/11/1980;Guerra Irã-Iraque
24/11/1980;Guerra Irã-Iraque
25/11/1980;Guerra Irã-Iraque
26/11/1980;Guerra Irã-Iraque
27/11/1980;Guerra Irã-Iraque
28/11/1980;Guerra Irã-Iraque
29/11/1980;Guerra Irã-Iraque
30/11/1980;Guerra Irã-Iraque
01/12/1980;Guerra Irã-Iraque
02/12/1980;Guerra Irã-Iraque
03/12/1980;Guerra Irã-Iraque
04/12/1980;Guerra Irã-Iraque
05/12/1980;Guerra Irã-Iraque
06/12/1980;Guerra Irã-Iraque
07/12/1980;Guerra Irã-Iraque
08/12/1980;Guerra Irã-Iraque
09/12/1980;Guerra Irã-Iraque
10/12/1980;Guerra Irã-Iraque
11/12/1980;Guerra Irã-Iraque
12/12/1980;Guerra Irã-Iraque
13/12/1980;Guerra Irã-Iraque
14/12/1980;Guerra Irã-Iraque
15/12/1980;Guerra Irã-Iraque
16/12/1980;Guerra Irã-Iraque
17/12/1980;Guerra Irã-Iraque
