data,preco
2025-02-04,76.16
2025-02-05,75.23
2025-02-06,74.75
2025-02-07,74.67
2025-02-08,74.67
2025-02-09,74.66
2025-02-10,73.64
2025-02-11,73.84
2025-02-12,72.88
2025-02-13,72.84
2025-02-14,72.64
2025-02-15,72.64
2025-02-16,72.64
2025-02-17,71.82
2025-02-18,71.75
2025-02-19,70.81
2025-02-20,70.55
2025-02-21,70.41
2025-02-22,70.41
2025-02-23,70.4
2025-02-24,69.48
2025-02-25,69.55
2025-02-26,68.6
2025-02-27,68.45
2025-02-28,68.28
2025-03-01,68.28
2025-03-02,68.28
2025-03-03,67.41
2025-03-04,67.4
2025-03-05,66.46
2025-03-06,66.25
2025-03-07,66.1
2025-03-08,66.1
2025-03-09,66.1
2025-03-10,65.2
2025-03-11,65.23
2025-03-12,64.28
2025-03-13,64.11
2025-03-14,63.95
2025-03-15,63.94
2025-03-16,63.94
2025-03-17,63.06
2025-03-18,63.07
2025-03-19,62.13
2025-03-20,61.93
2025-03-21,61.78
2025-03-22,61.78
2025-03-23,61.77
2025-03-24,60.89
2025-03-25,60.9
2025-03-26,59.96
2025-03-27,59.77
2025-03-28,59.62
2025-03-29,59.61
2025-03-30,59.61
2025-03-31,58.73
2025-04-01,58.74
2025-04-02,57.8
2025-04-03,57.61
2025-04-04,57.45
